cod;nome;período;ipeahomicidio-de-jovens-por-armas-de-fogo;ipeahomicidios-de-homens-por-armas-de-fogo;ipeahomicidios-de-jovens-homens;ipeahomicidios-de-jovens-mulheres;ipeahomicidios-de-jovens;ipeahomicidios-de-mulheres-por-armas-de-fogo;ipeahomicidios-homens-nao-negros;ipeahomicidios-homens-negros;ipeahomicidios-homens;ipeahomicidios-mulheres-nao-negras;ipeahomicidios-mulheres-negras;ipeahomicidios-mulheres;ipeahomicidios-nao-negros;ipeahomicidios-negros;ipeahomicidios-por-armas-de-fogo;ipeahomicidios
22;PI;2010;411;411;411;411;411;411;411;411;411;411;411;411;411;411;411;411
23;CE;2010;2688;2688;2688;2688;2688;2688;2688;2688;2688;2688;2688;2688;2688;2688;2688;2688
24;RN;2010;810;810;810;810;810;810;810;810;810;810;810;810;810;810;810;810
33;RJ;2010;5667;5667;5667;5667;5667;5667;5667;5667;5667;5667;5667;5667;5667;5667;5667;5667
26;PE;2010;3473;3473;3473;3473;3473;3473;3473;3473;3473;3473;3473;3473;3473;3473;3473;3473
27;AL;2010;2087;2087;2087;2087;2087;2087;2087;2087;2087;2087;2087;2087;2087;2087;2087;2087
28;SE;2010;676;676;676;676;676;676;676;676;676;676;676;676;676;676;676;676
29;BA;2010;5844;5844;5844;5844;5844;5844;5844;5844;5844;5844;5844;5844;5844;5844;5844;5844
31;MG;2010;3646;3646;3646;3646;3646;3646;3646;3646;3646;3646;3646;3646;3646;3646;3646;3646
11;RO;2010;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546
12;AC;2010;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165
13;AM;2010;1082;1082;1082;1082;1082;1082;1082;1082;1082;1082;1082;1082;1082;1082;1082;1082
14;RR;2010;121;121;121;121;121;121;121;121;121;121;121;121;121;121;121;121
15;PA;2010;3521;3521;3521;3521;3521;3521;3521;3521;3521;3521;3521;3521;3521;3521;3521;3521
25;PB;2010;1455;1455;1455;1455;1455;1455;1455;1455;1455;1455;1455;1455;1455;1455;1455;1455
33;RJ;2011;4781;4781;4781;4781;4781;4781;4781;4781;4781;4781;4781;4781;4781;4781;4781;4781
11;RO;2011;450;450;450;450;450;450;450;450;450;450;450;450;450;450;450;450
12;AC;2011;164;164;164;164;164;164;164;164;164;164;164;164;164;164;164;164
13;AM;2011;1292;1292;1292;1292;1292;1292;1292;1292;1292;1292;1292;1292;1292;1292;1292;1292
14;RR;2011;95;95;95;95;95;95;95;95;95;95;95;95;95;95;95;95
15;PA;2011;3073;3073;3073;3073;3073;3073;3073;3073;3073;3073;3073;3073;3073;3073;3073;3073
16;AP;2011;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209
17;TO;2011;361;361;361;361;361;361;361;361;361;361;361;361;361;361;361;361
21;MA;2011;1591;1591;1591;1591;1591;1591;1591;1591;1591;1591;1591;1591;1591;1591;1591;1591
22;PI;2011;440;440;440;440;440;440;440;440;440;440;440;440;440;440;440;440
23;CE;2011;2792;2792;2792;2792;2792;2792;2792;2792;2792;2792;2792;2792;2792;2792;2792;2792
24;RN;2011;1054;1054;1054;1054;1054;1054;1054;1054;1054;1054;1054;1054;1054;1054;1054;1054
25;PB;2011;1614;1614;1614;1614;1614;1614;1614;1614;1614;1614;1614;1614;1614;1614;1614;1614
26;PE;2011;3471;3471;3471;3471;3471;3471;3471;3471;3471;3471;3471;3471;3471;3471;3471;3471
27;AL;2011;2244;2244;2244;2244;2244;2244;2244;2244;2244;2244;2244;2244;2244;2244;2244;2244
28;SE;2011;731;731;731;731;731;731;731;731;731;731;731;731;731;731;731;731
29;BA;2011;5549;5549;5549;5549;5549;5549;5549;5549;5549;5549;5549;5549;5549;5549;5549;5549
31;MG;2011;4262;4262;4262;4262;4262;4262;4262;4262;4262;4262;4262;4262;4262;4262;4262;4262
32;ES;2011;1672;1672;1672;1672;1672;1672;1672;1672;1672;1672;1672;1672;1672;1672;1672;1672
35;SP;2011;5842;5842;5842;5842;5842;5842;5842;5842;5842;5842;5842;5842;5842;5842;5842;5842
41;PR;2011;3376;3376;3376;3376;3376;3376;3376;3376;3376;3376;3376;3376;3376;3376;3376;3376
42;SC;2011;811;811;811;811;811;811;811;811;811;811;811;811;811;811;811;811
43;RS;2011;2077;2077;2077;2077;2077;2077;2077;2077;2077;2077;2077;2077;2077;2077;2077;2077
50;MS;2011;673;673;673;673;673;673;673;673;673;673;673;673;673;673;673;673
51;MT;2011;1009;1009;1009;1009;1009;1009;1009;1009;1009;1009;1009;1009;1009;1009;1009;1009
52;GO;2011;2272;2272;2272;2272;2272;2272;2272;2272;2272;2272;2272;2272;2272;2272;2272;2272
53;DF;2011;902;902;902;902;902;902;902;902;902;902;902;902;902;902;902;902
28;SE;2012;879;879;879;879;879;879;879;879;879;879;879;879;879;879;879;879
27;AL;2012;2046;2046;2046;2046;2046;2046;2046;2046;2046;2046;2046;2046;2046;2046;2046;2046
26;PE;2012;3327;3327;3327;3327;3327;3327;3327;3327;3327;3327;3327;3327;3327;3327;3327;3327
25;PB;2012;1525;1525;1525;1525;1525;1525;1525;1525;1525;1525;1525;1525;1525;1525;1525;1525
24;RN;2012;1124;1124;1124;1124;1124;1124;1124;1124;1124;1124;1124;1124;1124;1124;1124;1124
23;CE;2012;3841;3841;3841;3841;3841;3841;3841;3841;3841;3841;3841;3841;3841;3841;3841;3841
22;PI;2012;525;525;525;525;525;525;525;525;525;525;525;525;525;525;525;525
21;MA;2012;1777;1777;1777;1777;1777;1777;1777;1777;1777;1777;1777;1777;1777;1777;1777;1777
17;TO;2012;379;379;379;379;379;379;379;379;379;379;379;379;379;379;379;379
16;AP;2012;253;253;253;253;253;253;253;253;253;253;253;253;253;253;253;253
15;PA;2012;3236;3236;3236;3236;3236;3236;3236;3236;3236;3236;3236;3236;3236;3236;3236;3236
14;RR;2012;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144
13;AM;2012;1344;1344;1344;1344;1344;1344;1344;1344;1344;1344;1344;1344;1344;1344;1344;1344
12;AC;2012;208;208;208;208;208;208;208;208;208;208;208;208;208;208;208;208
11;RO;2012;526;526;526;526;526;526;526;526;526;526;526;526;526;526;526;526
53;DF;2012;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954
52;GO;2012;2793;2793;2793;2793;2793;2793;2793;2793;2793;2793;2793;2793;2793;2793;2793;2793
51;MT;2012;1074;1074;1074;1074;1074;1074;1074;1074;1074;1074;1074;1074;1074;1074;1074;1074
50;MS;2012;683;683;683;683;683;683;683;683;683;683;683;683;683;683;683;683
43;RS;2012;2382;2382;2382;2382;2382;2382;2382;2382;2382;2382;2382;2382;2382;2382;2382;2382
42;SC;2012;821;821;821;821;821;821;821;821;821;821;821;821;821;821;821;821
41;PR;2012;3489;3489;3489;3489;3489;3489;3489;3489;3489;3489;3489;3489;3489;3489;3489;3489
35;SP;2012;6566;6566;6566;6566;6566;6566;6566;6566;6566;6566;6566;6566;6566;6566;6566;6566
33;RJ;2012;4772;4772;4772;4772;4772;4772;4772;4772;4772;4772;4772;4772;4772;4772;4772;4772
32;ES;2012;1667;1667;1667;1667;1667;1667;1667;1667;1667;1667;1667;1667;1667;1667;1667;1667
31;MG;2012;4562;4562;4562;4562;4562;4562;4562;4562;4562;4562;4562;4562;4562;4562;4562;4562
29;BA;2012;6148;6148;6148;6148;6148;6148;6148;6148;6148;6148;6148;6148;6148;6148;6148;6148
26;PE;2013;3124;3124;3124;3124;3124;3124;3124;3124;3124;3124;3124;3124;3124;3124;3124;3124
27;AL;2013;2148;2148;2148;2148;2148;2148;2148;2148;2148;2148;2148;2148;2148;2148;2148;2148
28;SE;2013;965;965;965;965;965;965;965;965;965;965;965;965;965;965;965;965
29;BA;2013;5694;5694;5694;5694;5694;5694;5694;5694;5694;5694;5694;5694;5694;5694;5694;5694
31;MG;2013;4717;4717;4717;4717;4717;4717;4717;4717;4717;4717;4717;4717;4717;4717;4717;4717
32;ES;2013;1622;1622;1622;1622;1622;1622;1622;1622;1622;1622;1622;1622;1622;1622;1622;1622
33;RJ;2013;5111;5111;5111;5111;5111;5111;5111;5111;5111;5111;5111;5111;5111;5111;5111;5111
35;SP;2013;6035;6035;6035;6035;6035;6035;6035;6035;6035;6035;6035;6035;6035;6035;6035;6035
41;PR;2013;2936;2936;2936;2936;2936;2936;2936;2936;2936;2936;2936;2936;2936;2936;2936;2936
42;SC;2013;789;789;789;789;789;789;789;789;789;789;789;789;789;789;789;789
43;RS;2013;2322;2322;2322;2322;2322;2322;2322;2322;2322;2322;2322;2322;2322;2322;2322;2322
50;MS;2013;630;630;630;630;630;630;630;630;630;630;630;630;630;630;630;630
51;MT;2013;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158
52;GO;2013;2975;2975;2975;2975;2975;2975;2975;2975;2975;2975;2975;2975;2975;2975;2975;2975
53;DF;2013;837;837;837;837;837;837;837;837;837;837;837;837;837;837;837;837
11;RO;2013;483;483;483;483;483;483;483;483;483;483;483;483;483;483;483;483
12;AC;2013;234;234;234;234;234;234;234;234;234;234;234;234;234;234;234;234
13;AM;2013;1191;1191;1191;1191;1191;1191;1191;1191;1191;1191;1191;1191;1191;1191;1191;1191
14;RR;2013;214;214;214;214;214;214;214;214;214;214;214;214;214;214;214;214
15;PA;2013;3405;3405;3405;3405;3405;3405;3405;3405;3405;3405;3405;3405;3405;3405;3405;3405
16;AP;2013;225;225;225;225;225;225;225;225;225;225;225;225;225;225;225;225
17;TO;2013;349;349;349;349;349;349;349;349;349;349;349;349;349;349;349;349
21;MA;2013;2163;2163;2163;2163;2163;2163;2163;2163;2163;2163;2163;2163;2163;2163;2163;2163
22;PI;2013;598;598;598;598;598;598;598;598;598;598;598;598;598;598;598;598
23;CE;2013;4473;4473;4473;4473;4473;4473;4473;4473;4473;4473;4473;4473;4473;4473;4473;4473
24;RN;2013;1447;1447;1447;1447;1447;1447;1447;1447;1447;1447;1447;1447;1447;1447;1447;1447
25;PB;2013;1551;1551;1551;1551;1551;1551;1551;1551;1551;1551;1551;1551;1551;1551;1551;1551
27;AL;2014;2085;2085;2085;2085;2085;2085;2085;2085;2085;2085;2085;2085;2085;2085;2085;2085
53;DF;2014;843;843;843;843;843;843;843;843;843;843;843;843;843;843;843;843
52;GO;2014;2887;2887;2887;2887;2887;2887;2887;2887;2887;2887;2887;2887;2887;2887;2887;2887
25;PB;2014;1551;1551;1551;1551;1551;1551;1551;1551;1551;1551;1551;1551;1551;1551;1551;1551
24;RN;2014;1602;1602;1602;1602;1602;1602;1602;1602;1602;1602;1602;1602;1602;1602;1602;1602
23;CE;2014;4626;4626;4626;4626;4626;4626;4626;4626;4626;4626;4626;4626;4626;4626;4626;4626
22;PI;2014;717;717;717;717;717;717;717;717;717;717;717;717;717;717;717;717
21;MA;2014;2462;2462;2462;2462;2462;2462;2462;2462;2462;2462;2462;2462;2462;2462;2462;2462
17;TO;2014;381;381;381;381;381;381;381;381;381;381;381;381;381;381;381;381
16;AP;2014;256;256;256;256;256;256;256;256;256;256;256;256;256;256;256;256
15;PA;2014;3446;3446;3446;3446;3446;3446;3446;3446;3446;3446;3446;3446;3446;3446;3446;3446
14;RR;2014;158;158;158;158;158;158;158;158;158;158;158;158;158;158;158;158
13;AM;2014;1240;1240;1240;1240;1240;1240;1240;1240;1240;1240;1240;1240;1240;1240;1240;1240
12;AC;2014;232;232;232;232;232;232;232;232;232;232;232;232;232;232;232;232
11;RO;2014;578;578;578;578;578;578;578;578;578;578;578;578;578;578;578;578
51;MT;2014;1358;1358;1358;1358;1358;1358;1358;1358;1358;1358;1358;1358;1358;1358;1358;1358
50;MS;2014;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700
43;RS;2014;2724;2724;2724;2724;2724;2724;2724;2724;2724;2724;2724;2724;2724;2724;2724;2724
42;SC;2014;905;905;905;905;905;905;905;905;905;905;905;905;905;905;905;905
41;PR;2014;2980;2980;2980;2980;2980;2980;2980;2980;2980;2980;2980;2980;2980;2980;2980;2980
35;SP;2014;6185;6185;6185;6185;6185;6185;6185;6185;6185;6185;6185;6185;6185;6185;6185;6185
33;RJ;2014;5718;5718;5718;5718;5718;5718;5718;5718;5718;5718;5718;5718;5718;5718;5718;5718
32;ES;2014;1609;1609;1609;1609;1609;1609;1609;1609;1609;1609;1609;1609;1609;1609;1609;1609
26;PE;2014;3358;3358;3358;3358;3358;3358;3358;3358;3358;3358;3358;3358;3358;3358;3358;3358
31;MG;2014;4724;4724;4724;4724;4724;4724;4724;4724;4724;4724;4724;4724;4724;4724;4724;4724
29;BA;2014;6052;6052;6052;6052;6052;6052;6052;6052;6052;6052;6052;6052;6052;6052;6052;6052
28;SE;2014;1097;1097;1097;1097;1097;1097;1097;1097;1097;1097;1097;1097;1097;1097;1097;1097
33;RJ;2015;5067;5067;5067;5067;5067;5067;5067;5067;5067;5067;5067;5067;5067;5067;5067;5067
11;RO;2015;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600
12;AC;2015;217;217;217;217;217;217;217;217;217;217;217;217;217;217;217;217
13;AM;2015;1472;1472;1472;1472;1472;1472;1472;1472;1472;1472;1472;1472;1472;1472;1472;1472
14;RR;2015;203;203;203;203;203;203;203;203;203;203;203;203;203;203;203;203
15;PA;2015;3675;3675;3675;3675;3675;3675;3675;3675;3675;3675;3675;3675;3675;3675;3675;3675
16;AP;2015;293;293;293;293;293;293;293;293;293;293;293;293;293;293;293;293
17;TO;2015;503;503;503;503;503;503;503;503;503;503;503;503;503;503;503;503
21;MA;2015;2438;2438;2438;2438;2438;2438;2438;2438;2438;2438;2438;2438;2438;2438;2438;2438
22;PI;2015;650;650;650;650;650;650;650;650;650;650;650;650;650;650;650;650
23;CE;2015;4163;4163;4163;4163;4163;4163;4163;4163;4163;4163;4163;4163;4163;4163;4163;4163
24;RN;2015;1545;1545;1545;1545;1545;1545;1545;1545;1545;1545;1545;1545;1545;1545;1545;1545
25;PB;2015;1522;1522;1522;1522;1522;1522;1522;1522;1522;1522;1522;1522;1522;1522;1522;1522
26;PE;2015;3847;3847;3847;3847;3847;3847;3847;3847;3847;3847;3847;3847;3847;3847;3847;3847
27;AL;2015;1748;1748;1748;1748;1748;1748;1748;1748;1748;1748;1748;1748;1748;1748;1748;1748
28;SE;2015;1303;1303;1303;1303;1303;1303;1303;1303;1303;1303;1303;1303;1303;1303;1303;1303
29;BA;2015;6012;6012;6012;6012;6012;6012;6012;6012;6012;6012;6012;6012;6012;6012;6012;6012
31;MG;2015;4532;4532;4532;4532;4532;4532;4532;4532;4532;4532;4532;4532;4532;4532;4532;4532
32;ES;2015;1450;1450;1450;1450;1450;1450;1450;1450;1450;1450;1450;1450;1450;1450;1450;1450
35;SP;2015;5427;5427;5427;5427;5427;5427;5427;5427;5427;5427;5427;5427;5427;5427;5427;5427
41;PR;2015;2936;2936;2936;2936;2936;2936;2936;2936;2936;2936;2936;2936;2936;2936;2936;2936
42;SC;2015;957;957;957;957;957;957;957;957;957;957;957;957;957;957;957;957
43;RS;2015;2944;2944;2944;2944;2944;2944;2944;2944;2944;2944;2944;2944;2944;2944;2944;2944
50;MS;2015;634;634;634;634;634;634;634;634;634;634;634;634;634;634;634;634
51;MT;2015;1203;1203;1203;1203;1203;1203;1203;1203;1203;1203;1203;1203;1203;1203;1203;1203
52;GO;2015;2997;2997;2997;2997;2997;2997;2997;2997;2997;2997;2997;2997;2997;2997;2997;2997
53;DF;2015;742;742;742;742;742;742;742;742;742;742;742;742;742;742;742;742
16;AP;2016;381;381;381;381;381;381;381;381;381;381;381;381;381;381;381;381
17;TO;2016;577;577;577;577;577;577;577;577;577;577;577;577;577;577;577;577
21;MA;2016;2408;2408;2408;2408;2408;2408;2408;2408;2408;2408;2408;2408;2408;2408;2408;2408
22;PI;2016;701;701;701;701;701;701;701;701;701;701;701;701;701;701;701;701
23;CE;2016;3642;3642;3642;3642;3642;3642;3642;3642;3642;3642;3642;3642;3642;3642;3642;3642
24;RN;2016;1854;1854;1854;1854;1854;1854;1854;1854;1854;1854;1854;1854;1854;1854;1854;1854
25;PB;2016;1355;1355;1355;1355;1355;1355;1355;1355;1355;1355;1355;1355;1355;1355;1355;1355
26;PE;2016;4447;4447;4447;4447;4447;4447;4447;4447;4447;4447;4447;4447;4447;4447;4447;4447
27;AL;2016;1820;1820;1820;1820;1820;1820;1820;1820;1820;1820;1820;1820;1820;1820;1820;1820
28;SE;2016;1465;1465;1465;1465;1465;1465;1465;1465;1465;1465;1465;1465;1465;1465;1465;1465
29;BA;2016;7171;7171;7171;7171;7171;7171;7171;7171;7171;7171;7171;7171;7171;7171;7171;7171
31;MG;2016;4622;4622;4622;4622;4622;4622;4622;4622;4622;4622;4622;4622;4622;4622;4622;4622
32;ES;2016;1270;1270;1270;1270;1270;1270;1270;1270;1270;1270;1270;1270;1270;1270;1270;1270
33;RJ;2016;6053;6053;6053;6053;6053;6053;6053;6053;6053;6053;6053;6053;6053;6053;6053;6053
35;SP;2016;4870;4870;4870;4870;4870;4870;4870;4870;4870;4870;4870;4870;4870;4870;4870;4870
41;PR;2016;3080;3080;3080;3080;3080;3080;3080;3080;3080;3080;3080;3080;3080;3080;3080;3080
42;SC;2016;984;984;984;984;984;984;984;984;984;984;984;984;984;984;984;984
43;RS;2016;3225;3225;3225;3225;3225;3225;3225;3225;3225;3225;3225;3225;3225;3225;3225;3225
50;MS;2016;671;671;671;671;671;671;671;671;671;671;671;671;671;671;671;671
51;MT;2016;1180;1180;1180;1180;1180;1180;1180;1180;1180;1180;1180;1180;1180;1180;1180;1180
52;GO;2016;3036;3036;3036;3036;3036;3036;3036;3036;3036;3036;3036;3036;3036;3036;3036;3036
53;DF;2016;760;760;760;760;760;760;760;760;760;760;760;760;760;760;760;760
15;PA;2016;4223;4223;4223;4223;4223;4223;4223;4223;4223;4223;4223;4223;4223;4223;4223;4223
14;RR;2016;204;204;204;204;204;204;204;204;204;204;204;204;204;204;204;204
13;AM;2016;1452;1452;1452;1452;1452;1452;1452;1452;1452;1452;1452;1452;1452;1452;1452;1452
12;AC;2016;363;363;363;363;363;363;363;363;363;363;363;363;363;363;363;363
11;RO;2016;703;703;703;703;703;703;703;703;703;703;703;703;703;703;703;703
28;SE;2017;1313;1313;1313;1313;1313;1313;1313;1313;1313;1313;1313;1313;1313;1313;1313;1313
53;DF;2017;610;610;610;610;610;610;610;610;610;610;610;610;610;610;610;610
52;GO;2017;2901;2901;2901;2901;2901;2901;2901;2901;2901;2901;2901;2901;2901;2901;2901;2901
51;MT;2017;1102;1102;1102;1102;1102;1102;1102;1102;1102;1102;1102;1102;1102;1102;1102;1102
50;MS;2017;659;659;659;659;659;659;659;659;659;659;659;659;659;659;659;659
43;RS;2017;3316;3316;3316;3316;3316;3316;3316;3316;3316;3316;3316;3316;3316;3316;3316;3316
42;SC;2017;1066;1066;1066;1066;1066;1066;1066;1066;1066;1066;1066;1066;1066;1066;1066;1066
41;PR;2017;2759;2759;2759;2759;2759;2759;2759;2759;2759;2759;2759;2759;2759;2759;2759;2759
35;SP;2017;4631;4631;4631;4631;4631;4631;4631;4631;4631;4631;4631;4631;4631;4631;4631;4631
33;RJ;2017;6416;6416;6416;6416;6416;6416;6416;6416;6416;6416;6416;6416;6416;6416;6416;6416
32;ES;2017;1521;1521;1521;1521;1521;1521;1521;1521;1521;1521;1521;1521;1521;1521;1521;1521
31;MG;2017;4299;4299;4299;4299;4299;4299;4299;4299;4299;4299;4299;4299;4299;4299;4299;4299
29;BA;2017;7487;7487;7487;7487;7487;7487;7487;7487;7487;7487;7487;7487;7487;7487;7487;7487
27;AL;2017;1813;1813;1813;1813;1813;1813;1813;1813;1813;1813;1813;1813;1813;1813;1813;1813
26;PE;2017;5419;5419;5419;5419;5419;5419;5419;5419;5419;5419;5419;5419;5419;5419;5419;5419
25;PB;2017;1341;1341;1341;1341;1341;1341;1341;1341;1341;1341;1341;1341;1341;1341;1341;1341
24;RN;2017;2203;2203;2203;2203;2203;2203;2203;2203;2203;2203;2203;2203;2203;2203;2203;2203
23;CE;2017;5433;5433;5433;5433;5433;5433;5433;5433;5433;5433;5433;5433;5433;5433;5433;5433
22;PI;2017;626;626;626;626;626;626;626;626;626;626;626;626;626;626;626;626
21;MA;2017;2180;2180;2180;2180;2180;2180;2180;2180;2180;2180;2180;2180;2180;2180;2180;2180
17;TO;2017;557;557;557;557;557;557;557;557;557;557;557;557;557;557;557;557
16;AP;2017;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383
15;PA;2017;4575;4575;4575;4575;4575;4575;4575;4575;4575;4575;4575;4575;4575;4575;4575;4575
14;RR;2017;248;248;248;248;248;248;248;248;248;248;248;248;248;248;248;248
13;AM;2017;1674;1674;1674;1674;1674;1674;1674;1674;1674;1674;1674;1674;1674;1674;1674;1674
12;AC;2017;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516
11;RO;2017;554;554;554;554;554;554;554;554;554;554;554;554;554;554;554;554
42;SC;2018;843;843;843;843;843;843;843;843;843;843;843;843;843;843;843;843
43;RS;2018;2699;2699;2699;2699;2699;2699;2699;2699;2699;2699;2699;2699;2699;2699;2699;2699
50;MS;2018;572;572;572;572;572;572;572;572;572;572;572;572;572;572;572;572
51;MT;2018;989;989;989;989;989;989;989;989;989;989;989;989;989;989;989;989
52;GO;2018;2675;2675;2675;2675;2675;2675;2675;2675;2675;2675;2675;2675;2675;2675;2675;2675
53;DF;2018;530;530;530;530;530;530;530;530;530;530;530;530;530;530;530;530
17;TO;2018;570;570;570;570;570;570;570;570;570;570;570;570;570;570;570;570
21;MA;2018;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982
22;PI;2018;619;619;619;619;619;619;619;619;619;619;619;619;619;619;619;619
23;CE;2018;4900;4900;4900;4900;4900;4900;4900;4900;4900;4900;4900;4900;4900;4900;4900;4900
24;RN;2018;1825;1825;1825;1825;1825;1825;1825;1825;1825;1825;1825;1825;1825;1825;1825;1825
25;PB;2018;1244;1244;1244;1244;1244;1244;1244;1244;1244;1244;1244;1244;1244;1244;1244;1244
26;PE;2018;4190;4190;4190;4190;4190;4190;4190;4190;4190;4190;4190;4190;4190;4190;4190;4190
11;RO;2018;476;476;476;476;476;476;476;476;476;476;476;476;476;476;476;476
27;AL;2018;1441;1441;1441;1441;1441;1441;1441;1441;1441;1441;1441;1441;1441;1441;1441;1441
28;SE;2018;1133;1133;1133;1133;1133;1133;1133;1133;1133;1133;1133;1133;1133;1133;1133;1133
29;BA;2018;6787;6787;6787;6787;6787;6787;6787;6787;6787;6787;6787;6787;6787;6787;6787;6787
31;MG;2018;3372;3372;3372;3372;3372;3372;3372;3372;3372;3372;3372;3372;3372;3372;3372;3372
32;ES;2018;1165;1165;1165;1165;1165;1165;1165;1165;1165;1165;1165;1165;1165;1165;1165;1165
33;RJ;2018;6455;6455;6455;6455;6455;6455;6455;6455;6455;6455;6455;6455;6455;6455;6455;6455
35;SP;2018;3727;3727;3727;3727;3727;3727;3727;3727;3727;3727;3727;3727;3727;3727;3727;3727
12;AC;2018;409;409;409;409;409;409;409;409;409;409;409;409;409;409;409;409
13;AM;2018;1542;1542;1542;1542;1542;1542;1542;1542;1542;1542;1542;1542;1542;1542;1542;1542
14;RR;2018;414;414;414;414;414;414;414;414;414;414;414;414;414;414;414;414
15;PA;2018;4528;4528;4528;4528;4528;4528;4528;4528;4528;4528;4528;4528;4528;4528;4528;4528
16;AP;2018;426;426;426;426;426;426;426;426;426;426;426;426;426;426;426;426
41;PR;2018;2443;2443;2443;2443;2443;2443;2443;2443;2443;2443;2443;2443;2443;2443;2443;2443
53;DF;2019;480;480;480;480;480;480;480;480;480;480;480;480;480;480;480;480
11;RO;2019;447;447;447;447;447;447;447;447;447;447;447;447;447;447;447;447
12;AC;2019;325;325;325;325;325;325;325;325;325;325;325;325;325;325;325;325
13;AM;2019;1592;1592;1592;1592;1592;1592;1592;1592;1592;1592;1592;1592;1592;1592;1592;1592
14;RR;2019;234;234;234;234;234;234;234;234;234;234;234;234;234;234;234;234
15;PA;2019;3405;3405;3405;3405;3405;3405;3405;3405;3405;3405;3405;3405;3405;3405;3405;3405
16;AP;2019;361;361;361;361;361;361;361;361;361;361;361;361;361;361;361;361
17;TO;2019;456;456;456;456;456;456;456;456;456;456;456;456;456;456;456;456
21;MA;2019;1704;1704;1704;1704;1704;1704;1704;1704;1704;1704;1704;1704;1704;1704;1704;1704
22;PI;2019;569;569;569;569;569;569;569;569;569;569;569;569;569;569;569;569
23;CE;2019;2417;2417;2417;2417;2417;2417;2417;2417;2417;2417;2417;2417;2417;2417;2417;2417
24;RN;2019;1346;1346;1346;1346;1346;1346;1346;1346;1346;1346;1346;1346;1346;1346;1346;1346
25;PB;2019;953;953;953;953;953;953;953;953;953;953;953;953;953;953;953;953
26;PE;2019;3474;3474;3474;3474;3474;3474;3474;3474;3474;3474;3474;3474;3474;3474;3474;3474
27;AL;2019;1115;1115;1115;1115;1115;1115;1115;1115;1115;1115;1115;1115;1115;1115;1115;1115
28;SE;2019;973;973;973;973;973;973;973;973;973;973;973;973;973;973;973;973
29;BA;2019;6118;6118;6118;6118;6118;6118;6118;6118;6118;6118;6118;6118;6118;6118;6118;6118
31;MG;2019;2893;2893;2893;2893;2893;2893;2893;2893;2893;2893;2893;2893;2893;2893;2893;2893
32;ES;2019;1043;1043;1043;1043;1043;1043;1043;1043;1043;1043;1043;1043;1043;1043;1043;1043
33;RJ;2019;3552;3552;3552;3552;3552;3552;3552;3552;3552;3552;3552;3552;3552;3552;3552;3552
35;SP;2019;3361;3361;3361;3361;3361;3361;3361;3361;3361;3361;3361;3361;3361;3361;3361;3361
41;PR;2019;2095;2095;2095;2095;2095;2095;2095;2095;2095;2095;2095;2095;2095;2095;2095;2095
42;SC;2019;767;767;767;767;767;767;767;767;767;767;767;767;767;767;767;767
43;RS;2019;2184;2184;2184;2184;2184;2184;2184;2184;2184;2184;2184;2184;2184;2184;2184;2184
50;MS;2019;491;491;491;491;491;491;491;491;491;491;491;491;491;491;491;491
51;MT;2019;895;895;895;895;895;895;895;895;895;895;895;895;895;895;895;895
52;GO;2019;2253;2253;2253;2253;2253;2253;2253;2253;2253;2253;2253;2253;2253;2253;2253;2253
53;DF;2020;453;453;453;453;453;453;453;453;453;453;453;453;453;453;453;453
11;RO;2020;456;456;456;456;456;456;456;456;456;456;456;456;456;456;456;456
12;AC;2020;304;304;304;304;304;304;304;304;304;304;304;304;304;304;304;304
13;AM;2020;1326;1326;1326;1326;1326;1326;1326;1326;1326;1326;1326;1326;1326;1326;1326;1326
14;RR;2020;237;237;237;237;237;237;237;237;237;237;237;237;237;237;237;237
15;PA;2020;2809;2809;2809;2809;2809;2809;2809;2809;2809;2809;2809;2809;2809;2809;2809;2809
16;AP;2020;387;387;387;387;387;387;387;387;387;387;387;387;387;387;387;387
17;TO;2020;484;484;484;484;484;484;484;484;484;484;484;484;484;484;484;484
21;MA;2020;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103
22;PI;2020;674;674;674;674;674;674;674;674;674;674;674;674;674;674;674;674
23;CE;2020;3992;3992;3992;3992;3992;3992;3992;3992;3992;3992;3992;3992;3992;3992;3992;3992
24;RN;2020;1406;1406;1406;1406;1406;1406;1406;1406;1406;1406;1406;1406;1406;1406;1406;1406
25;PB;2020;1141;1141;1141;1141;1141;1141;1141;1141;1141;1141;1141;1141;1141;1141;1141;1141
26;PE;2020;3786;3786;3786;3786;3786;3786;3786;3786;3786;3786;3786;3786;3786;3786;3786;3786
27;AL;2020;1292;1292;1292;1292;1292;1292;1292;1292;1292;1292;1292;1292;1292;1292;1292;1292
