cod;nome;período;ipeahomicidio-de-jovens-por-armas-de-fogo;ipeahomicidios-de-homens-por-armas-de-fogo;ipeahomicidios-de-jovens-homens;ipeahomicidios-de-jovens-mulheres;ipeahomicidios-de-jovens;ipeahomicidios-de-mulheres-por-armas-de-fogo;ipeahomicidios-homens-nao-negros;ipeahomicidios-homens-negros;ipeahomicidios-homens;ipeahomicidios-mulheres-nao-negras;ipeahomicidios-mulheres-negras;ipeahomicidios-mulheres;ipeahomicidios-nao-negros;ipeahomicidios-negros;ipeahomicidios-por-armas-de-fogo;ipeahomicidios
42;SC;1997;423;423;423;423;423;423;423;423;423;423;423;423;423;423;423;423
43;RS;1997;1648;1648;1648;1648;1648;1648;1648;1648;1648;1648;1648;1648;1648;1648;1648;1648
50;MS;1997;729;729;729;729;729;729;729;729;729;729;729;729;729;729;729;729
51;MT;1997;766;766;766;766;766;766;766;766;766;766;766;766;766;766;766;766
52;GO;1997;744;744;744;744;744;744;744;744;744;744;744;744;744;744;744;744
53;DF;1997;613;613;613;613;613;613;613;613;613;613;613;613;613;613;613;613
52;GO;1998;704;704;704;704;704;704;704;704;704;704;704;704;704;704;704;704
11;RO;1998;494;494;494;494;494;494;494;494;494;494;494;494;494;494;494;494
12;AC;1998;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110
13;AM;1998;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534
14;RR;1998;134;134;134;134;134;134;134;134;134;134;134;134;134;134;134;134
15;PA;1998;774;774;774;774;774;774;774;774;774;774;774;774;774;774;774;774
16;AP;1998;160;160;160;160;160;160;160;160;160;160;160;160;160;160;160;160
17;TO;1998;129;129;129;129;129;129;129;129;129;129;129;129;129;129;129;129
21;MA;1998;278;278;278;278;278;278;278;278;278;278;278;278;278;278;278;278
22;PI;1998;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140
23;CE;1998;946;946;946;946;946;946;946;946;946;946;946;946;946;946;946;946
24;RN;1998;222;222;222;222;222;222;222;222;222;222;222;222;222;222;222;222
